Site,Code,C14Age,C14SD,LabNumber,Material,Tradition,Sub,Latitude,Longitude,SiteDescription,Comments,Reference,FullReference,Exclude,calCurves,resOffsets,resErrors,Period,L1,L2,Name,Cultural Affiliation
RS-T-114,RS-T-114,350,30,Beta-388513,Charcoal,Tupiguarani,Guarani,-29.2885,-52.1195,"Layer of dark earth with abundant ceramic debris, ovens and pit features.",,Schneider et al. 2017,"Schneider, Fernanda, Sidnei Wolf, Marcos R Kreutz, and Neli Teresinha Galarce Machado. 2017. “Tempo e Espaço Guarani: Um Estudo Acerca Da Ocupação, Cronologia e Dinâmica de Movimentação Pré-Colonial Na Bacia Do Rio Taquari/Antas, Rio Grande Do Sul, Brasil.” Boletim Do Museu Paraense Emilio Goeldi:Ciencias Humanas 12 (1): 31–56.",FALSE,shcal20,0,0,,TP,,RS-T-114,Tupiguarani (Guarani)
Elias dal Prá,RS-MJ-50,345,105,SI-818,Charcoal,Tupiguarani,Guarani,-29.689,-53.55,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Elias dal Prá (RS-MJ-50),Tupiguarani (Guarani)
Lagoa Seca,PR-FI-118,340,60,SI-5023,,Tupiguarani,Guarani,-24.7803,-54.3595,,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Lagoa Seca (PR-FI-118),Tupiguarani (Guarani)
PE-137-Bga,,340,150,BaH-1331,,Tupiguarani,,-7.5333,-40.5667,,,Albuquerque 2008,"Albuquerque, Marco. 2008. “Recipientes Cerâmicos de Grupos Tupi, No Nordeste Brasileiro.” In Os Ceramistas Tupiguarani, edited by André Prous and Tania Andrade Lima, 55–78. Belo Horizonte: Sigma.",FALSE,shcal20,0,0,,TP,,PE-137-Bga,Tupiguarani
Bitoca 1,PA-AT-277,330,40,Beta-195707,Charcoal,Tupiguarani,,-5.8202,-50.5021,ADE site.,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Bitoca 1 (PA-AT-277),Tupiguarani
Chã do Caboclo,Bj-10,330,110,MC-1083,Charcoal,Tupiguarani,,-7.7417,-35.5528,"The site has a long history of occupation, since the early Holocene.",,Rapaire and Hughes 1977,"Rapaire, J. L., and G. Hughes. 1977. “Monaco Radiocarbon Measurements V.” Radiocarbon 19 (1): 49–61.",FALSE,shcal20,0,0,,TP,,Chã do Caboclo (Bj-10),Tupiguarani
Medina I,,330,50,LP-750,,Tupiguarani,Guarani,-27.552,-57.149,,,Rodríguez 1997,"Rodríguez, Jorge A. 1997. “Investigaciones Arqueológicas En Yacyretá (Corrientes-Argentina).” Jornadas de Antropología de La Cuenca Del Plata 3: 41–47.",FALSE,shcal20,0,0,,TP,,Medina I,Tupiguarani (Guarani)
Saltinho do Uruguai,SC01800,320,60,Beta-226115,Charcoal,Tupiguarani,Guarani,-27.08,-52.98,"Two areas, one of which with dark earth. The site contained six urn burials, including an infant, accompanied by ceramics and adornments such as quartz beads and lip plugs.",Enriched isotopic values from human bone collagen and apatite are compatible with consumption of maize.,Hoeltz and Brüggemann 2011,"Hoeltz, S E, and A A Brüggemann. 2011. “As Indústrias Líticas Na Área Da UHE Foz Do Chapecó, Oeste Catarinense: Antiguidade, Estratégia Tecnológica e Variabilidade.” In A Ocupação Pré-Colonial No Oeste de Santa Catarina, edited by Mirian Carbonera and Pedro I Schmitz, 84–107. Chapecó: Argos.",FALSE,shcal20,0,0,,TP,,Saltinho do Uruguai (SC01800),Tupiguarani (Guarani)
Santa Tecla I,,310,50,Beta-197131,,Tupiguarani,Guarani,-27.637,-56.615,,,Rodríguez 2009,"Rodríguez, Jorge A. 2009. “La Ocupación (Poblamiento) Del Norte de Corrientes (Argentina) Por Fase de La Tradición Tupiguaraní.” In Arqueologia Interpretativa. O Método Quantitativo Para o Establecimento de Seqüências Cerâmicas: Estudos de Casos, edited by Betty J Meggers, 49–62. Porto Nacional: UNITINS.",FALSE,shcal20,0,0,,TP,,Santa Tecla I,Tupiguarani (Guarani)
Cariri,BA-19,305,65,SI-820,Charcoal,Tupiguarani,,-13.7514,-41.25,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Cariri (BA-19),Tupiguarani
Cajazeiras,SCJ-01,300,30,Beta-306454,,Tupiguarani,,-5.52,-47.47,Dark layer with ceramics.,,Bandeira et al. 2011,"Bandeira, Arkley Marques, Abrahão S N F Silva, Rafael Alcântara Brandi, and Alenuska Kelly Guimarães Andrade. 2011. “Relatório de Resgate Arqueológico Do Sítio Cajazeiras (SCJ-01), Imperatriz/MA.” Imperatriz: Suzano Papel e Celulose.",FALSE,shcal20,0,0,,TP,,Cajazeiras (SCJ-01),Tupiguarani
Medina I,,300,50,Beta-105248,,Tupiguarani,Guarani,-27.552,-57.149,,,Rodríguez 2009,"Rodríguez, Jorge A. 2009. “La Ocupación (Poblamiento) Del Norte de Corrientes (Argentina) Por Fase de La Tradición Tupiguaraní.” In Arqueologia Interpretativa. O Método Quantitativo Para o Establecimento de Seqüências Cerâmicas: Estudos de Casos, edited by Betty J Meggers, 49–62. Porto Nacional: UNITINS.",FALSE,shcal20,0,0,,TP,,Medina I,Tupiguarani (Guarani)
Rancho Leôncio 2,PR-FL-05,300,115,SI-693,,Tupiguarani,Guarani,-23.3162,-52.591,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Rancho Leôncio 2 (PR-FL-05),Tupiguarani (Guarani)
RS-T-114,RS-T-114,300,30,Beta-303993,Charcoal,Tupiguarani,Guarani,-29.2885,-52.1195,"Layer of dark earth with abundant ceramic debris, ovens and pit features.",,Schneider et al. 2017,"Schneider, Fernanda, Sidnei Wolf, Marcos R Kreutz, and Neli Teresinha Galarce Machado. 2017. “Tempo e Espaço Guarani: Um Estudo Acerca Da Ocupação, Cronologia e Dinâmica de Movimentação Pré-Colonial Na Bacia Do Rio Taquari/Antas, Rio Grande Do Sul, Brasil.” Boletim Do Museu Paraense Emilio Goeldi:Ciencias Humanas 12 (1): 31–56.",FALSE,shcal20,0,0,,TP,,RS-T-114,Tupiguarani (Guarani)
Valenzuela,,300,50,Beta-105250,,Tupiguarani,Guarani,-27.52,-56.73,,,Rodríguez 2009,"Rodríguez, Jorge A. 2009. “La Ocupación (Poblamiento) Del Norte de Corrientes (Argentina) Por Fase de La Tradición Tupiguaraní.” In Arqueologia Interpretativa. O Método Quantitativo Para o Establecimento de Seqüências Cerâmicas: Estudos de Casos, edited by Betty J Meggers, 49–62. Porto Nacional: UNITINS.",FALSE,shcal20,0,0,,TP,,Valenzuela,Tupiguarani (Guarani)
Panema,,290,40,Beta-144862,Human bone,Tupiguarani,,-23.59,-48.47,,,Morais 2000,"Morais, José L. 2000. “Tópicos de Arqueologia Da Paisagem.” Revista Do Museu de Arqueologia e Etnologia 10: 3–30.",FALSE,shcal20,0,0,,TP,,Panema,Tupiguarani
RS-T-132,,290,30,Beta-472011,Charcoal,Tupiguarani,Guarani,-29.17,-52.2,,,Unpublished,Unpublished,FALSE,shcal20,0,0,,TP,,RS-T-132,Tupiguarani (Guarani)
São Bento,PA02353,290,30,Beta-324186,,Tupiguarani,Itacaiúnas,-3.5514,-53.1869,,,Unpublished,Unpublished,FALSE,shcal20,0,0,,TP,,São Bento (PA02353),Tupiguarani (Itacaiúnas)
Lagoa da Porteira 1,RS-LC-80,280,50,Beta-202366,,Tupiguarani,Guarani,-30.431,-50.605,"House floors with hearths, ceramic refuse and post holes.",,Rogge 2005,"Rogge, Jairo Henrique. 2005. “Fenômenos de Fronteira: Um Estudo Das Situações de Contato Entre Portadores Das Tradições Cerâmicas Pré-Históricas No Rio Grande Do Sul.” Pesquisas: Antropologia 62: 9–119.",FALSE,shcal20,0,0,,TP,,Lagoa da Porteira 1 (RS-LC-80),Tupiguarani (Guarani)
Eri Rampellotto,RS-MJ-71,265,90,SI-2199,Charcoal,Tupiguarani,Guarani,-29.532,-53.536,,,Brochado 1971,"Brochado, José Joaquim Justiniano Proenza. 1971. “Expansão Das Pesquisas Arqueológicas Nos Vales Do Jacuí e Ibicuí-Mirim.” Publicaçoes Avulsas Do Museu Paraense Emilio Goeldi 15: 11–36.",FALSE,shcal20,0,0,,TP,,Eri Rampellotto (RS-MJ-71),Tupiguarani (Guarani)
MT-IV-01,MT-IV-01,260,70,SI-1016,Charcoal,Tupiguarani,Guarani,-23.5,-52.5,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,MT-IV-01,Tupiguarani (Guarani)
RS-T-114,RS-T-114,260,30,Beta-388514,Charcoal,Tupiguarani,Guarani,-29.2885,-52.1195,"Layer of dark earth with abundant ceramic debris, ovens and pit features.",,Schneider et al. 2017,"Schneider, Fernanda, Sidnei Wolf, Marcos R Kreutz, and Neli Teresinha Galarce Machado. 2017. “Tempo e Espaço Guarani: Um Estudo Acerca Da Ocupação, Cronologia e Dinâmica de Movimentação Pré-Colonial Na Bacia Do Rio Taquari/Antas, Rio Grande Do Sul, Brasil.” Boletim Do Museu Paraense Emilio Goeldi:Ciencias Humanas 12 (1): 31–56.",FALSE,shcal20,0,0,,TP,,RS-T-114,Tupiguarani (Guarani)
Taquapelingai 1,PR-FI-97,255,80,SI-5017,,Tupiguarani,Guarani,-25.2885,-54.4885,Patches of dark earth arranged in a semi-circle.,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Taquapelingai 1 (PR-FI-97),Tupiguarani (Guarani)
João A. Guarantier,SC-U-54,250,90,SI-546,Charcoal,Tupiguarani,Guarani,-27.083,-53.033,,,Stuckenrath and Mielke 1972,"Stuckenrath, R, and J Mielke. 1972. “Smithsonian Institution Radiocarbon Measurements VII.” Radiocarbon 14 (2): 401–12.",FALSE,shcal20,0,0,,TP,,João A. Guarantier (SC-U-54),Tupiguarani (Guarani)
Córrego Uerê,MS-PD-06,240,30,Gif-10038,,Tupiguarani,Guarani,-21.703,-52.431,,,Kashimoto and Martins 2008,"Kashimoto, Emilia M, and Gilson R Martins. 2008. “A Problemática Arqueológica Da Tradição Cerâmica Tupiguarani No Mato Grosso Do Sul.” In Os Ceramistas Tupiguarani, edited by André Prous and Tania A Lima, 149–78. Belo Horizonte: Sigma.",FALSE,shcal20,0,0,,TP,,Córrego Uerê (MS-PD-06),Tupiguarani (Guarani)
RS-T-114,RS-T-114,240,30,Beta-367375,Charcoal,Tupiguarani,Guarani,-29.2885,-52.1195,"Layer of dark earth with abundant ceramic debris, ovens and pit features.",,Schneider et al. 2017,"Schneider, Fernanda, Sidnei Wolf, Marcos R Kreutz, and Neli Teresinha Galarce Machado. 2017. “Tempo e Espaço Guarani: Um Estudo Acerca Da Ocupação, Cronologia e Dinâmica de Movimentação Pré-Colonial Na Bacia Do Rio Taquari/Antas, Rio Grande Do Sul, Brasil.” Boletim Do Museu Paraense Emilio Goeldi:Ciencias Humanas 12 (1): 31–56.",FALSE,shcal20,0,0,,TP,,RS-T-114,Tupiguarani (Guarani)
Santa Tecla I,,240,50,Beta-105252,,Tupiguarani,Guarani,-27.637,-56.615,,,Rodríguez 2009,"Rodríguez, Jorge A. 2009. “La Ocupación (Poblamiento) Del Norte de Corrientes (Argentina) Por Fase de La Tradición Tupiguaraní.” In Arqueologia Interpretativa. O Método Quantitativo Para o Establecimento de Seqüências Cerâmicas: Estudos de Casos, edited by Betty J Meggers, 49–62. Porto Nacional: UNITINS.",FALSE,shcal20,0,0,,TP,,Santa Tecla I,Tupiguarani (Guarani)
Emílio Barão,ZM-JF-02,230,40,,,Tupiguarani,,-21.7785,-43.6133,Layer of dark earth with fire pits and ceramic debris covering 1.7 ha.,,Mageste 2016,"Mageste, Leandro Elias Canaan. 2016. “Ceramistas Tupiguarani No Sudeste Do Brasil: Os Contextos Da Zona Da Mata Mineira e Araruama No Rio de Janeiro.” Revista Tarairú 1 (11): 84–101.",FALSE,shcal20,0,0,,TP,,Emílio Barão (ZM-JF-02),Tupiguarani
Foz do Bela Vista 1,PR-FI-22,230,80,SI-5015,,Tupiguarani,Guarani,-25.4451,-54.6029,,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Foz do Bela Vista 1 (PR-FI-22),Tupiguarani (Guarani)
Jaboticaba 1,RS-VZ-41,225,55,SI-701,Charcoal,Tupiguarani,Guarani,-27.167,-53.733,Domestic and funerary areas.,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Jaboticaba 1 (RS-VZ-41),Tupiguarani (Guarani)
PE-86-Cm,,225,150,BaH-1084-A,,Tupiguarani,,-7.9837,-35.0169,,,Albuquerque 2008,"Albuquerque, Marco. 2008. “Recipientes Cerâmicos de Grupos Tupi, No Nordeste Brasileiro.” In Os Ceramistas Tupiguarani, edited by André Prous and Tania Andrade Lima, 55–78. Belo Horizonte: Sigma.",FALSE,shcal20,0,0,,TP,,PE-86-Cm,Tupiguarani
Aurélio C. Bernardes,RS-MJ-90,220,85,SI-2202,,Tupiguarani,Guarani,-29.729,-52.681,,,Brochado 1971,"Brochado, José Joaquim Justiniano Proenza. 1971. “Expansão Das Pesquisas Arqueológicas Nos Vales Do Jacuí e Ibicuí-Mirim.” Publicaçoes Avulsas Do Museu Paraense Emilio Goeldi 15: 11–36.",FALSE,shcal20,0,0,,TP,,Aurélio C. Bernardes (RS-MJ-90),Tupiguarani (Guarani)
Cajazeiras,SCJ-01,220,30,Beta-306455,,Tupiguarani,,-5.52,-47.47,Dark layer with ceramics.,,Bandeira et al. 2011,"Bandeira, Arkley Marques, Abrahão S N F Silva, Rafael Alcântara Brandi, and Alenuska Kelly Guimarães Andrade. 2011. “Relatório de Resgate Arqueológico Do Sítio Cajazeiras (SCJ-01), Imperatriz/MA.” Imperatriz: Suzano Papel e Celulose.",FALSE,shcal20,0,0,,TP,,Cajazeiras (SCJ-01),Tupiguarani
GB-10,,215,120,SI-1203,,Tupiguarani,,-22.9977,-43.6047,Coastal shell midden with refuse-filled pits and burials (two adults and one infant).,,Beltrão e Kneip 1969,"Beltrão, Maria C M C, and L M Kneip. 1969. “Escavações Arqueológicas No Estado Da Guanabara.” In XXI Reunião Anual Da SBPC. São Paulo: SBPC.",FALSE,shcal20,0,0,,TP,,GB-10,Tupiguarani
Ilhas Comandaí,RS-VZ-12,215,105,SI-702,,Tupiguarani,Guarani,-27.8,-55.1,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Ilhas Comandaí (RS-VZ-12),Tupiguarani (Guarani)
Ytypytiuú,PA-KTM-19,210,30,Beta,Charcoal,Tupiguarani,,-4.7173,-52.2481,ADE site with midden.,,Garcia 2017,"Garcia, Lorena L W G. 2017. “Paisagens Do Médio-Baixo Xingu: Arqueologia, Temporalidade e Historicidade.” PhD Dissertation. Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Ytypytiuú (PA-KTM-19),Tupiguarani
Ferraz Egreja,MT-SL-91,205,40,Gif-10047,Charcoal,Tupiguarani,,-16.5167,-54.8278,"Rock shelter with parietal art and long history of occupation, mostly preceramic, with numerous superimposed hearths.",,Fontugne et al. 2006,"Fontugne, Michel, Christine Hatté, and Claude Noury. 2006. “Quadro Cronológico.” In Pré-História Do Mato Grosso, edited by Águeda V Vialou, EdUSP, 45–48. São Paulo.",FALSE,shcal20,0,0,,TP,,Ferraz Egreja (MT-SL-91),Tupiguarani
Lagoa Seca,PR-FI-118,205,80,SI-5022,,Tupiguarani,Guarani,-24.7803,-54.3595,,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Lagoa Seca (PR-FI-118),Tupiguarani (Guarani)
Ferraz Egreja,MT-SL-91,200,70,Gif-10046,Charcoal,Tupiguarani,,-16.5167,-54.8278,"Rock shelter with parietal art and long history of occupation, mostly preceramic, with numerous superimposed hearths.",,Fontugne et al. 2006,"Fontugne, Michel, Christine Hatté, and Claude Noury. 2006. “Quadro Cronológico.” In Pré-História Do Mato Grosso, edited by Águeda V Vialou, EdUSP, 45–48. São Paulo.",FALSE,shcal20,0,0,,TP,,Ferraz Egreja (MT-SL-91),Tupiguarani
Cumandaiti,,195,70,Ua-10239,Charcoal,Tupiguarani,,-19.44,-63.84,Funerary urn.,,Pärssinen 2005,"Pärssinen, Matti. 2005. “Quando Começou, Realmente, a Expansão Guarani Em Direção Às Serras Andinas Orientais?” Revista de Arqueologia 18: 51–66.",FALSE,shcal20,0,0,,TP,,Cumandaiti,Tupiguarani
Adolfo Schenkel,RS-C-63,190,85,SI-1197,,Tupiguarani,Guarani,-29.372,-51.565,Patches of dark earth covering 1 ha.,,Ribeiro 1974,"Ribeiro, Pedro A M. 1974. “Primeiras Datações Pelo Método C14 Para o Vale Do Caí, Rio Grande Do Sul.” Revista Do CEPA 1: 16–22.",FALSE,shcal20,0,0,,TP,,Adolfo Schenkel (RS-C-63),Tupiguarani (Guarani)
Porto Estamato,PR-FI-98,190,75,SI-5018,,Tupiguarani,Guarani,-25.2854,-54.4842,,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Porto Estamato (PR-FI-98),Tupiguarani (Guarani)
MT-IV-01,MT-IV-01,180,60,SI-1018,Charcoal,Tupiguarani,Guarani,-23.5,-52.5,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,MT-IV-01,Tupiguarani (Guarani)
Reinaldo Kappel,RS-RP-140,180,60,SI-3523,,Tupiguarani,Guarani,-29.729,-52.681,,,Ribeiro 1991,"Ribeiro, Pedro A M. 1991. “Arqueologia Do Vale Do Rio Pardo, Rio Grande Do Sul, Brasil.” Revista Do CEPA 18 (21): 1–184.",FALSE,shcal20,0,0,,TP,,Reinaldo Kappel (RS-RP-140),Tupiguarani (Guarani)
Bittencourt,PA-BA-83,170,60,Beta-217578,Charcoal,Tupiguarani,,-1.7421,-48.7305,ADE site with 2 ha.,,Senna 2016,"Senna, Cristina S F. 2016. “Geografia e Arqueologia: Análise Espacial e Contextual de Sítios Arqueológicos No Estuário Amazônico.” Revista GeoUSP 20 (2): 238–49.",FALSE,shcal20,0,0,,TP,,Bittencourt (PA-BA-83),Tupiguarani
Jambuaçu,PA-BA-85,150,60,Beta-217585,Charcoal,Tupiguarani,,-1.8896,-48.6066,ADE site with 1 ha.,,Senna 2016,"Senna, Cristina S F. 2016. “Geografia e Arqueologia: Análise Espacial e Contextual de Sítios Arqueológicos No Estuário Amazônico.” Revista GeoUSP 20 (2): 238–49.",FALSE,shcal20,0,0,,TP,,Jambuaçu (PA-BA-85),Tupiguarani
Myryna,PA-KTM-17,150,30,Beta,Charcoal,Tupiguarani,,-4.7161,-52.2464,ADE site.,,Garcia 2017,"Garcia, Lorena L W G. 2017. “Paisagens Do Médio-Baixo Xingu: Arqueologia, Temporalidade e Historicidade.” PhD Dissertation. Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Myryna (PA-KTM-17),Tupiguarani
PE-107-Cm,,150,150,BaH-1255,,Tupiguarani,,-8,-35.02,,,Albuquerque 2008,"Albuquerque, Marco. 2008. “Recipientes Cerâmicos de Grupos Tupi, No Nordeste Brasileiro.” In Os Ceramistas Tupiguarani, edited by André Prous and Tania Andrade Lima, 55–78. Belo Horizonte: Sigma.",FALSE,shcal20,0,0,,TP,,PE-107-Cm,Tupiguarani
Rio Condor 3,PR-FL-13,135,120,SI-698,,Tupiguarani,Guarani,-23.5486,-52.3214,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Rio Condor 3 (PR-FL-13),Tupiguarani (Guarani)
João Cantarelli,RS-MJ-42,130,105,SI-815,,Tupiguarani,Guarani,-29.824,-53.383,,,Brochado 1969,"Brochado, José Joaquim Justiniano Proenza. 1969. “Pesquisas Arqueológicas Nos Vales Do Ijuí e Do Jacuí.” Publicaçoes Avulsas Do Museu Paraense Emilio Goeldi 13: 31–62.",FALSE,shcal20,0,0,,TP,,João Cantarelli (RS-MJ-42),Tupiguarani (Guarani)
Alunorte,PA-BA-84,110,40,Beta-217582,Charcoal,Tupiguarani,,-1.539,-48.7254,ADE site with 5 ha.,,Senna 2016,"Senna, Cristina S F. 2016. “Geografia e Arqueologia: Análise Espacial e Contextual de Sítios Arqueológicos No Estuário Amazônico.” Revista GeoUSP 20 (2): 238–49.",FALSE,shcal20,0,0,,TP,,Alunorte (PA-BA-84),Tupiguarani
Elias dal Prá,RS-MJ-50,110,100,SI-817,,Tupiguarani,Guarani,-29.689,-53.55,,,Brochado 1969,"Brochado, José Joaquim Justiniano Proenza. 1969. “Pesquisas Arqueológicas Nos Vales Do Ijuí e Do Jacuí.” Publicaçoes Avulsas Do Museu Paraense Emilio Goeldi 13: 31–62.",FALSE,shcal20,0,0,,TP,,Elias dal Prá (RS-MJ-50),Tupiguarani (Guarani)
MT-IV-02,MT-IV-02,110,60,SI-1019,Charcoal,Tupiguarani,Guarani,-23.667,-53.33,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,MT-IV-02,Tupiguarani (Guarani)
Ferraz Egreja,MT-SL-91,100,50,Gif-9694,Charcoal,Tupiguarani,,-16.5167,-54.8278,"Rock shelter with parietal art and long history of occupation, mostly preceramic, with numerous superimposed hearths.",,Fontugne et al. 2006,"Fontugne, Michel, Christine Hatté, and Claude Noury. 2006. “Quadro Cronológico.” In Pré-História Do Mato Grosso, edited by Águeda V Vialou, EdUSP, 45–48. São Paulo.",FALSE,shcal20,0,0,,TP,,Ferraz Egreja (MT-SL-91),Tupiguarani
RS-T-132,,100,30,Beta-512707,Charcoal,Tupiguarani,Guarani,-29.17,-52.2,,,Unpublished,Unpublished,FALSE,shcal20,0,0,,TP,,RS-T-132,Tupiguarani (Guarani)
Faz. Dona Carlota 1,PR-FI-104,85,75,SI-5030,,Tupiguarani,Guarani,-25.1973,-54.4591,Patches of dark earth.,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Faz. Dona Carlota 1 (PR-FI-104),Tupiguarani (Guarani)
Sete Quedas 5,PR-FO-06,85,60,SI-5041,,Tupiguarani,Guarani,-24.0764,-54.2646,Excavations uncovered post holes and hearths.,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Sete Quedas 5 (PR-FO-06),Tupiguarani (Guarani)
